,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
0,Cauli et al PNAS,10.1073/pnas.97.11.6144,,,,Rat,85,Brain,,,,,"B. Cauli, J. T. Porter, K. Tsuzuki, B. Lambolez, J. Rossier, B. Quenet, E. Audinat",Proceedings of the National Academy of Sciences,Classification of fusiform neocortical interneurons based on unsupervised clustering,20020726,-,sc-RT-mPCR,,30,qPCR,Cerebral cortex,,21-27 days,3,Yes,No,No,Yes,No,,Patch-clamp,,10.1073/pnas.97.11.6144,1,Cauli et al PNAS,1,
1,Malnic et al Cell,10.1016/S0092-8674(00)80581-4,,,,Mouse,18,Brain,,,,,"Bettina Malnic, Junzo Hirono, Takaaki Sato, Linda B Buck",Cell,Combinatorial Receptor Codes for Odors,20040410,-,PCR,,,qPCR,Olfactory neurons,,,,,,,,,,,,10.1016/S0092-8674(00)80581-4,1,Malnic et al Cell,1,
2,Tietjen et al Neuron,10.1016/S0896-6273(03)00229-0,2,"This prompted us to harvest OSNs and OPCs from adult and embryonic day 15 (E15) MOE, respectively, to increase the probability of successfully isolating multiple representatives of each cell type","There is no specific information given in the provided text about the number of donors (patients, individuals) whose single-cell RNA sequencing data was analyzed in this study.","Human, Mouse",37,Brain,Brain,3,,,"Ian Tietjen, Jason M. Rihel, Yanxiang Cao, Georgy Koentges, Lisa Zakhary, Catherine Dulac",Neuron,Single-Cell Transcriptional Analysis of Neuronal Progenitors,15/04/2004,-,PCR,,"13,000",Microarray,"OSNs, OPCs",,,6,,,,,,,"Manual, LCM",,10.1016/S0896-6273(03)00229-0,1,Tietjen et al Neuron,1,
3,Gallopin et al CCortex,10.1093/cercor/bhj081,,,,Rat,157,Brain,,,,,"Thierry Gallopin, Hélène Geoffroy, Jean Rossier, Bertrand Lambolez",Cerebral Cortex,"Cortical Sources of CRF, NKB, and CCK and Their Effects on Pyramidal Cells in the Neocortex",20051208,-,sc-RT-mPCR,,50,qPCR,Cerebral cortex,,21-27 days,4,Yes,No,No,Yes,No,,Patch-clamp,,10.1093/cercor/bhj081,1,Gallopin et al CCortex,1,
4,Kurimoto et al NAR,10.1093/nar/gkl050,,,,Mouse,20,ICM,,,,,K. Kurimoto,Nucleic Acids Research,An improved single-cell cDNA amplification method for efficient high-density oligonucleotide microarray analysis,20060330,-,aRNA amplification,GSE4309,,Microarray,E3.5 ICM,,E3.5,2,,,,,,,,,10.1093/nar/gkl050,1,Kurimoto et al NAR,1,
5,Ferezou et al CCortex,10.1093/cercor/bhl104,,,,Rat,360,Brain,,,,,"I. Ferezou, E. L. Hill, B. Cauli, N. Gibelin, T. Kaneko, J. Rossier, B. Lambolez",Cerebral Cortex,Extensive Overlap of Mu-Opioid and Nicotinic Sensitivity in Cortical Interneurons,20061027,-,sc-RT-mPCR,,30,qPCR,Cerebral cortex,,21-27 days,4,No,No,No,No,No,,Patch-clamp,,10.1093/cercor/bhl104,1,Ferezou et al CCortex,1,
6,Esumi et al NResearch,10.1016/j.neures.2007.12.011,,,,Mouse,8,Brain,,,,,"Shigeyuki Esumi, Sheng-Xi Wu, Yuchio Yanagawa, Kunihiko Obata, Yukihiko Sugimoto, Nobuaki Tamamaki",Neuroscience Research,Method for single-cell microarray analysis and application to gene-expression profiling of GABAergic neuron progenitors,20080107,-,Super SMART,,,Microarray,GABAergic NPCs,,,1,,,,,No,,,,10.1016/j.neures.2007.12.011,1,Esumi et al NResearch,1,
7,Subkhankulova et al BMCGenomics,10.1186/1471-2164-9-268,,,,Mouse,12,Brain,,,,,"Tatiana Subkhankulova, Michael J Gilchrist, Frederick J Livesey",BMC Genomics,Modelling and measuring single cell RNA expression levels find considerable transcriptional differences among phenotypically identical cells,20080613,-,PCR,,"23,232",Microarray,E11.5 NPCs,,E11.5,,,,,,,,,,10.1186/1471-2164-9-268,1,Subkhankulova et al BMCGenomics,1,
8,Karagiannis et al JNeuroscience,10.1523/JNEUROSCI.0058-09.2009,,,,Rat,200,Brain,,,,,"A. Karagiannis, T. Gallopin, C. David, D. Battaglia, H. Geoffroy, J. Rossier, E. M. C. Hillman, J. F. Staiger, B. Cauli",Journal of Neuroscience,Classification of NPY-Expressing Neocortical Interneurons,20090318,-,sc-RT-mPCR,,30,qPCR,Cerebral cortex,,21-27 days,4,Yes,No,No,Yes,No,,Patch-clamp,,10.1523/JNEUROSCI.0058-09.2009,1,Karagiannis et al JNeuroscience,1,
9,Tang et al NMeth,10.1038/NMETH.1315,,,,Mouse,5,Oocyte,,,,,"Fuchou Tang, Catalin Barbacioru, Yangzhou Wang, Ellen Nordman, Clarence Lee, Nanlan Xu, Xiaohui Wang, John Bodeau, Brian B Tuch, Asim Siddiqui, Kaiqin Lao, M Azim Surani",Nat Methods,mRNA-Seq whole-transcriptome analysis of a single cell,20090406,-,Tang,GSE14605,,RNA-seq,Oocyte,,E0,,No,No,No,No,No,,Pipetting (Manual picking),,10.1038/NMETH.1315,1,Tang et al NMeth,1,
