,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
17,Eltahla et al ICB,10.1038/icb.2016.16,"Auda A Eltahla, Simone Rizzetto, Mehdi R Pirozyan, Brigid D Betz-Stablein, Vanessa Venturi, Katherine Kedzierska, Andrew R Lloyd, Rowena A Bull, Fabio Luciani",Immunol Cell Biol,Linking the T cell receptor to the single cell transcriptome in antigen-specific human T cells,20160210,-,63.0,Human,Blood,Smart-seq2,,,RNA-seq,CD8 T cells from PBMC,,,,,,,,,,,,,1.0,2016-02-10,2016,2,10,63.0
18,Krjutškov et al HReproduction,10.1093/humrep/dew008,"K. Krjutškov, S. Katayama, M. Saare, M. Vera-Rodriguez, D. Lubenets, K. Samuel, T. Laisk-Podar, H. Teder, E. Einarsdottir, A. Salumets, J. Kere",Hum. Reprod.,Single-cell transcriptome analysis of endometrial tissue,20160214,,96.0,Human,"Culture, Endometrium",STRT-seq,,,RNA-seq,,,,,,,,,,,,,,2.0,2016-02-14,2016,2,14,48.0
19,Bjorklund et al NImmunology,10.1038/ni.3368,"Åsa K Björklund, Marianne Forkel, Simone Picelli, Viktoria Konya, Jakob Theorell, Danielle Friberg, Rickard Sandberg, Jenny Mjösberg",Nat Immunol,The heterogeneity of human CD127+ innate lymphoid cells revealed by single-cell RNA sequencing,20160215,-,648.0,Human,Tonsil,Smart-seq2,GSE70580,,RNA-seq,CD127+ ILCs from tonsils,,,"56yo, 44yo, 23yo",4,Yes,No,No,Yes,Yes,,,,3.0,2016-02-15,2016,2,15,216.0
20,Petropoulos et al Cell,10.1016/j.cell.2016.03.023,"Sophie Petropoulos, Daniel Edsgärd, Björn Reinius, Qiaolin Deng, Sarita Pauliina Panula, Simone Codeluppi, Alvaro Plaza Reyes, Sten Linnarsson, Rickard Sandberg, Fredrik Lanner",Cell,Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos,20160409,-,1529.0,Human,Embryo,Smart-seq2,E-MTAB-3929,,RNA-seq,Preimplantation embryos,,,,,,Yes,No,Yes,Yes,,,,88.0,2016-04-09,2016,4,9,17.375
21,Liu et al GBiology,10.1186/s13059-016-0932-1,"Siyuan John Liu, Tomasz J. Nowakowski, Alex A. Pollen, Jan H. Lui, Max A. Horlbeck, Frank J. Attenello, Daniel He, Jonathan S. Weissman, Arnold R. Kriegstein, Aaron A. Diaz, Daniel A. Lim",Genome Biol,Single-cell analysis of long non-coding RNAs in the developing human neocortex,20160414,-,226.0,Human,Brain,SMARTer (C1),GSE71315,,RNA-seq,Neocortex,,,"GW 19.5, 20.5, 23.5",,,,,,,,,,3.0,2016-04-14,2016,4,14,75.33333333333333
22,Kim et al GBiology,10.1186/s13059-016-0945-9,"Kyu-Tae Kim, Hye Won Lee, Hae-Ock Lee, Hye Jin Song, Da Eun Jeong, Sang Shin, Hyunho Kim, Yoojin Shin, Do-Hyun Nam, Byong Chang Jeong, David G. Kirsch, Kyeung Min Joo, Woong-Yang Park",Genome Biol,Application of single-cell RNA sequencing in optimizing a combinatorial therapeutic strategy in metastatic renal cell carcinoma,20160430,-,121.0,Human,Xenograft,SMARTer (C1),GSE73121,,RNA-seq,Metastatic renal cell carcinoma,,,,,,,,,,,,,1.0,2016-04-30,2016,4,30,121.0
23,Lake et al Science,10.1126/science.aaf1204,"B. B. Lake, R. Ai, G. E. Kaeser, N. S. Salathia, Y. C. Yung, R. Liu, A. Wildberg, D. Gao, H.-L. Fung, S. Chen, R. Vijayaraghavan, J. Wong, A. Chen, X. Sheng, F. Kaper, R. Shen, M. Ronaghi, J.-B. Fan, W. Wang, J. Chun, K. Zhang",Science,Neuronal subtypes and diversity revealed by single-nucleus RNA sequencing of the human brain,20160625,-,3227.0,Human,Brain,SMARTer (C1),phs000833.v3.p1,,RNA-seq,Cerebral cortex,,,Adult,17,Yes,No,No,,,,IFC Capture,,1.0,2016-06-25,2016,6,25,3227.0
24,Wang et al Diabetes,10.2337/db16-0405,"Yue J. Wang, Jonathan Schug, Kyoung-Jae Won, Chengyang Liu, Ali Naji, Dana Avrahami, Maria L. Golson, Klaus H. Kaestner",Diabetes,Single-Cell Transcriptomics of the Human Endocrine Pancreas,20160701,-,635.0,Human,Pancreas,SMARTer (C1),GSE83139,,RNA-seq,Pancreatic endocrine cells,"Type 1 diabetes, Type 2 diabetes","juvenile, adult, T2D",,2,Yes,,,No,No,,,,8.0,2016-07-01,2016,7,1,79.375
25,Jordan et al Nature,10.1038/nature19328,"Nicole Vincent Jordan, Aditya Bardia, Ben S. Wittner, Cyril Benes, Matteo Ligorio, Yu Zheng, Min Yu, Tilak K. Sundaresan, Joseph A. Licausi, Rushil Desai, Ryan M. O’Keefe, Richard Y. Ebright, Myriam Boukhali, Srinjoy Sil, Maristela L. Onozato, Anthony J. Iafrate, Ravi Kapur, Dennis Sgroi, David T. Ting, Mehmet Toner, Sridhar Ramaswamy, Wilhelm Haas, Shyamala Maheswaran, Daniel A. Haber",Nature,HER2 expression identifies dynamic functional states within circulating breast cancer cells,20160823,-,74.0,Human,Blood,SMARTer,GSE75367,,RNA-seq,CTCs from breast cancer patients,,,,,,,,,,,,,2.0,2016-08-23,2016,8,23,37.0
26,Lizotte et al JCIInsight,10.1172/jci.insight.89014,"Patrick H. Lizotte, Elena V. Ivanova, Mark M. Awad, Robert E. Jones, Lauren Keogh, Hongye Liu, Ruben Dries, Christina Almonte, Grit S. Herter-Sprie, Abigail Santos, Nora B. Feeney, Cloud P. Paweletz, Meghana M. Kulkarni, Adam J. Bass, Anil K. Rustgi, Guo-Cheng Yuan, Donald W. Kufe, Pasi A. Jänne, Peter S. Hammerman, Lynette M. Sholl, F. Stephen Hodi, William G. Richards, Raphael Bueno, Jessie M. English, Mark A. Bittinger, Kwok-Kin Wong",JCI Insight,Multiparametric profiling of non–small-cell lung cancers reveals distinct immunophenotypes,20160907,-,192.0,Human,"Blood, Tumor",Smart-seq2,GSE84789,,RNA-seq,"B cells, non small cell lung cancer associated B-cells",,,,,,,,,,,,,2.0,2016-09-07,2016,9,7,96.0
27,Baron et al CSystems,10.1016/j.cels.2016.08.011,"Maayan Baron, Adrian Veres, Samuel L. Wolock, Aubrey L. Faust, Renaud Gaujoux, Amedeo Vetere, Jennifer Hyoje Ryu, Bridget K. Wagner, Shai S. Shen-Orr, Allon M. Klein, Douglas A. Melton, Itai Yanai",Cell Systems,A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure,20160922,-,10461.0,"Human, Mouse",Pancreas,InDrops,GSE84133,,RNA-seq,Pancreas islets,,,,15,Yes,No,No,Yes,Yes,,,,4.0,2016-09-22,2016,9,22,2615.25
28,Segerstolpe et al CMetabolism,10.1016/j.cmet.2016.08.020,"Åsa Segerstolpe, Athanasia Palasantza, Pernilla Eliasson, Eva-Marie Andersson, Anne-Christine Andréasson, Xiaoyan Sun, Simone Picelli, Alan Sabirsh, Maryam Clausen, Magnus K. Bjursell, David M. Smith, Maria Kasper, Carina Ämmälä, Rickard Sandberg",Cell Metabolism,Single-Cell Transcriptome Profiling of Human Pancreatic Islets in Health and Type 2 Diabetes,20160922,-,2209.0,Human,Pancreas,Smart-seq2,E-MTAB-5060,,RNA-seq,Pancreas islets,Type 2 diabetes,,,14,Yes,No,No,No,Yes,,,,10.0,2016-09-22,2016,9,22,220.9
29,Xin et al CMetabolism,10.1016/j.cmet.2016.08.018,"Yurong Xin, Jinrang Kim, Haruka Okamoto, Min Ni, Yi Wei, Christina Adler, Andrew J. Murphy, George D. Yancopoulos, Calvin Lin, Jesper Gromada",Cell Metabolism,RNA Sequencing of Single Human Islet Cells Reveals Type 2 Diabetes Genes,20160922,-,1492.0,Human,Pancreas,SMARTer (C1),GSE81608,,RNA-seq,Pancreatic islets,Type 2 diabetes,,,4,Yes,No,No,Yes,Yes,,,,18.0,2016-09-22,2016,9,22,82.88888888888889
30,Reinius et al NGenetics,10.1038/ng.3678,"Björn Reinius, Jeff E Mold, Daniel Ramsköld, Qiaolin Deng, Per Johnsson, Jakob Michaëlsson, Jonas Frisén, Rickard Sandberg",Nat Genet,Analysis of allelic expression patterns in clonal somatic cells by single-cell RNA–seq,20160926,-,892.0,"Human, Mouse","Blood, Brain, Liver, Skin",Smart-seq2,GSE75659,,RNA-seq,,,,,,,,,,,,,,1.0,2016-09-26,2016,9,26,892.0
31,Muraro et al CSystems,10.1016/j.cels.2016.09.002,"Mauro J. Muraro, Gitanjali Dharmadhikari, Dominic Grün, Nathalie Groen, Tim Dielen, Erik Jansen, Leon van Gurp, Marten A. Engelse, Francoise Carlotti, Eelco J.P. de Koning, Alexander van Oudenaarden",Cell Systems,A Single-Cell Transcriptome Atlas of the Human Pancreas,20161001,-,12200.0,Human,Pancreas,SORT-seq,GSE85241,,RNA-seq,Pancreas islets,,,,9,Yes,No,No,,Yes,,,,4.0,2016-10-01,2016,10,1,3050.0
32,La manno et al Cell,10.1016/j.cell.2016.09.027,"Gioele La Manno, Daniel Gyllborg, Simone Codeluppi, Kaneyasu Nishimura, Carmen Salto, Amit Zeisel, Lars E. Borm, Simon R.W. Stott, Enrique M. Toledo, J. Carlos Villaescusa, Peter Lönnerberg, Jesper Ryge, Roger A. Barker, Ernest Arenas, Sten Linnarsson",Cell,"Molecular Diversity of Midbrain Development in Mouse, Human, and Stem Cells",20161006,-,6100.0,"Human, Mouse",Brain,STRT-seq (C1),GSE76381,,RNA-seq,Ventral midbrain,,,"GW6-GW11, E11.5-E15.5, E18.5, P21",25,Yes,Yes,No,Yes,Yes,,,,10.0,2016-10-06,2016,10,6,610.0
33,Vickovic et al NComm,10.1038/ncomms13182,"Sanja Vickovic, Patrik L. Ståhl, Fredrik Salmén, Sarantis Giatrellis, Jakub Orzechowski Westholm, Annelie Mollbrink, José Fernández Navarro, Joaquin Custodio, Magda Bienko, Lesley-Ann Sutton, Richard Rosenquist, Jonas Frisén, Joakim Lundeberg",Nat Commun,Massive and parallel expression profiling using microarrayed single-cell sequencing,20161014,-,3000.0,Human,"Blood, Culture",MASC-seq,SRP067878,,RNA-seq,"neoplastic B cells, MCF-7",,,,4,Yes,,,,Yes,,Array placement,,3.0,2016-10-14,2016,10,14,1000.0
34,Tirosh et al Nature,10.1038/nature20123,"Itay Tirosh, Andrew S. Venteicher, Christine Hebert, Leah E. Escalante, Anoop P. Patel, Keren Yizhak, Jonathan M. Fisher, Christopher Rodman, Christopher Mount, Mariella G. Filbin, Cyril Neftel, Niyati Desai, Jackson Nyman, Benjamin Izar, Christina C. Luo, Joshua M. Francis, Aanand A. Patel, Maristela L. Onozato, Nicolo Riggi, Kenneth J. Livak, Dave Gennert, Rahul Satija, Brian V. Nahed, William T. Curry, Robert L. Martuza, Ravindra Mylvaganam, A. John Iafrate, Matthew P. Frosch, Todd R. Golub, Miguel N. Rivera, Gad Getz, Orit Rozenblatt-Rosen, Daniel P. Cahill, Michelle Monje, Bradley E. Bernstein, David N. Louis, Aviv Regev, Mario L. Suvà",Nature,Single-cell RNA-seq supports a developmental hierarchy in human oligodendroglioma,20161101,-,4347.0,Human,Brain,Smart-seq2 & STRT-seq,GSE70630,,RNA-seq,Oligodendrogliomas,Oligodendroglioma,Tumor vs non-Tumor,,,,,,,,,,,6.0,2016-11-01,2016,11,1,724.5
35,Breton et al JEM,10.1084/jem.20161135,"Gaëlle Breton, Shiwei Zheng, Renan Valieris, Israel Tojal da Silva, Rahul Satija, Michel C. Nussenzweig",J. Exp. Med.,Human dendritic cells (DCs) are derived from distinct circulating precursors that are precommitted to become CD1c+ or CD141+ DCs,20161118,-,957.0,Human,Blood,Smart-seq2,GSE89232,,RNA-seq,dendritic cells,,,,3,Yes,No,No,Yes,No,,,,3.0,2016-11-18,2016,11,18,319.0
36,Lawlor et al GResearch,10.1101/gr.212720.116,"Nathan Lawlor, Joshy George, Mohan Bolisetty, Romy Kursawe, Lili Sun, V. Sivakamasundari, Ina Kycia, Paul Robson, Michael L. Stitzel",Genome Res.,Single-cell transcriptomes identify human islet cell signatures and reveal cell-type–specific expression changes in type 2 diabetes,20161119,-,1145.0,Human,Pancreas,SMARTer (C1),GSE86473,,RNA-seq,Islet cells,Type 2 diabetes,"age, sex, bmi, T2D vs normal",,9,Yes,No,No,,Yes,,,,8.0,2016-11-19,2016,11,19,143.125
37,Müller et al MSB,10.15252/msb.20166969,"Sören Müller, Siyuan John Liu, Elizabeth Di Lullo, Martina Malatesta, Alex A Pollen, Tomasz J Nowakowski, Gary Kohanbash, Manish Aghi, Arnold R Kriegstein, Daniel A Lim, Aaron Diaz",Mol Syst Biol,Single‐cell sequencing maps gene expression to mutational phylogenies in PDGF ‐ and EGF ‐driven gliomas,20161126,,280.0,Human,Brain,SMARTer (C1),EGAS00001001900,,RNA-seq,Glioblastoma,,,,,,,,,,,,,3.0,2016-11-26,2016,11,26,93.33333333333333
38,Ebinger et al CCell,10.1016/j.ccell.2016.11.002,"Sarah Ebinger, Erbey Ziya Özdemir, Christoph Ziegenhain, Sebastian Tiedt, Catarina Castro Alves, Michaela Grunert, Michael Dworzak, Christoph Lutz, Virginia A. Turati, Tariq Enver, Hans-Peter Horny, Karl Sotlar, Swati Parekh, Karsten Spiekermann, Wolfgang Hiddemann, Aloys Schepers, Bernhard Polzer, Stefan Kirsch, Martin Hoffmann, Bettina Knapp, Jan Hasenauer, Heike Pfeifer, Renate Panzer-Grümayer, Wolfgang Enard, Olivier Gires, Irmela Jeremias",Cancer Cell,"Characterization of Rare, Dormant, and Therapy-Resistant Cells in Acute Lymphoblastic Leukemia",20161201,-,185.0,Human,Xenograft,SMARTer (C1),GSE83142,,RNA-seq,,,,,,,,,,,,,,1.0,2016-12-01,2016,12,1,185.0
